title,description,genre
The Jetsetters,"Reese’s Book Club x Hello Sunshine Book Pick • New York Times Book Review Editors’ Choice “Dysfunctional family goes away together on a Mediterranean cruise: What’s not to love? This novel fell squarely in my wheelhouse and I was delighted anew in every port. The Jetsetters is fun, sexy, and engrossing.”—#1 New York Times bestselling author Elin Hilderbrand When seventy-year-old Charlotte Perkins submits a sexy essay to the Become a Jetsetter contest, she dreams of reuniting her estranged children: Lee, an almost-famous actress; Cord, a handsome Manhattan venture capitalist who can’t seem to find a partner; and Regan, a harried mother who took it all wrong when Charlotte bought her a Weight Watchers gift certificate for her birthday. Charlotte yearns for the years when her children were young, when she was a single mother who meant everything to them. When she wins the contest, the family packs their baggage—both literal and figurative—and spends ten days traveling from sun-drenched Athens through glorious Rome to tapas-laden Barcelona on an over-the-top cruise ship, the Splendido Marveloso. As lovers new and old join the adventure, long-buried secrets are revealed and old wounds are reopened, forcing the Perkins family to confront the forces that drove them apart and the defining choices of their lives. Can four lost adults find the peace they’ve been seeking by reconciling their childhood aches and coming back together? In the vein of The Nest and The Vacationers, The Jetsetters is a delicious and intelligent novel about the courage it takes to reveal our true selves, the pleasures and perils of family, and how we navigate the seas of adulthood.",science fiction
The Humans,"The bestselling, award-winning author of The Radleys is back with his funniest, most devastating dark comedy yet, a “silly, sad, suspenseful, and soulful” (Philadelphia Inquirer) novel that’s “full of heart” (Entertainment Weekly). When an extra-terrestrial visitor arrives on Earth, his first impressions of the human species are less than positive. Taking the form of Professor Andrew Martin, a prominent mathematician at Cambridge University, the visitor is eager to complete the gruesome task assigned him and hurry home to his own utopian planet, where everyone is omniscient and immortal. He is disgusted by the way humans look, what they eat, their capacity for murder and war, and is equally baffled by the concepts of love and family. But as time goes on, he starts to realize there may be more to this strange species than he had thought. Disguised as Martin, he drinks wine, reads poetry, develops an ear for rock music, and a taste for peanut butter. Slowly, unexpectedly, he forges bonds with Martin’s family. He begins to see hope and beauty in the humans’ imperfection, and begins to question the very mission that brought him there. Praised by The New York Times as a “novelist of great seriousness and talent,” author Matt Haig delivers an unlikely story about human nature and the joy found in the messiness of life on Earth. The Humans is a funny, compulsively readable tale that playfully and movingly explores the ultimate subject—ourselves.",science fiction
Tears of Tess,"“My life was complete. Happy, content, everything neat and perfect. Then it all changed. I was sold.” Tess Snow has everything she ever wanted: one more semester before a career in property development, a loving boyfriend, and a future dazzling bright with possibility. For their two year anniversary, Brax surprises Tess with a romantic trip to Mexico. Sandy beaches, delicious cocktails, and soul-connecting sex set the mood for a wonderful holiday. With a full heart, and looking forward to a passion filled week, Tess is on top of the world. But lusty paradise is shattered. Kidnapped. Drugged. Stolen. Tess is forced into a world full of darkness and terror. Captive and alone with no savior, no lover, no faith, no future, Tess evolves from terrified girl to fierce fighter. But no matter her strength, it can’t save her from the horror of being sold. Can Brax find Tess before she’s broken and ruined, or will Tess’s new owner change her life forever? A New Adult Dark Contemporary Romance, not suitable for people sensitive to grief, slavery, and hard to read subjects. A story about finding love in the strangest of places, a will of iron that grows from necessity, and forgiveness that may not be enough.",science fiction
Such a Fun Age,"AN INSTANT NEW YORK TIMES BESTSELLER A REESE'S BOOK CLUB x HELLO SUNSHINE BOOK PICK ""The most provocative page-turner of the year."" --Entertainment Weekly ""A great way to kick off 2020."" --Washington Post ""I urge you to read Such a Fun Age."" --NPR A striking and surprising debut novel from an exhilarating new voice, Such a Fun Age is a page-turning and big-hearted story about race and privilege, set around a young black babysitter, her well-intentioned employer, and a surprising connection that threatens to undo them both. Alix Chamberlain is a woman who gets what she wants and has made a living, with her confidence-driven brand, showing other women how to do the same. So she is shocked when her babysitter, Emira Tucker, is confronted while watching the Chamberlains' toddler one night, walking the aisles of their local high-end supermarket. The store's security guard, seeing a young black woman out late with a white child, accuses Emira of kidnapping two-year-old Briar. A small crowd gathers, a bystander films everything, and Emira is furious and humiliated. Alix resolves to make things right. But Emira herself is aimless, broke, and wary of Alix's desire to help. At twenty-five, she is about to lose her health insurance and has no idea what to do with her life. When the video of Emira unearths someone from Alix's past, both women find themselves on a crash course that will upend everything they think they know about themselves, and each other. With empathy and piercing social commentary, Such a Fun Age explores the stickiness of transactional relationships, what it means to make someone ""family,"" and the complicated reality of being a grown up. It is a searing debut for our times.",science fiction
Justice or Injustice? You Decide,"This book is an adventure of the life and growth of a nerdy kid from the streets of Jersey City, New Jersey. Displaced to the deep south of Pensacola, Florida, he struggled as a fish out of water and found himself getting into trouble often in his early years. This years and experiences also taught him about fear and how to overcome it. His early beginnings had him leading a gang at sixteen years old and committing robberies and break-ins followed by his inevitable imprisonment for his crimes in (the Wall) Huntsville, Texas as well as years of hard labor at Florida State Prison in Raiford, Florida, and Bartow Prison Road Camp, a Cool Hand Luke type of facility. Eventually, he gained his freedom and spent years dispensing vigilante justice. That abruptly came to an end with miracle of circumstances. In all, Jim has been described as a man with the tenacity of Clint Eastwood, the adrenaline rush of Indiana Jones, the physical feats of a James Bond movie, the genius of Einstein, the psychoanalyzing skills of Dr. Phil, and the power of Al Capone. He surrendered it all to a life in Jesus Christ and became a humble minister of God.",science fiction
Inferno,"The first stop on Dante's famous journey from Hell to Purgatory to Paradise, this 14th-century allegorical poem blends vivid and shocking imagery with graceful lyricism. Translated by the beloved 19th-century poet, Henry Wadsworth Longfellow.",science fiction
Supper Club,"A sharply intelligent and intimate debut novel about a secret society of hungry young women who meet after dark and feast to reclaim their appetites--and their physical spaces--that posits the question: if you feed a starving woman, what will she grow into? “A visceral and dangerous celebration of feminine appetite and agency. Dark, vivid and infinitely compelling, Williams boldly explores what happens when women dare to cross lines and take up space with their bodies, the hungers and delights to be found in transgression, and the anger and pain we are afraid to claim.” —Mona Awad, author of Bunny and 13 Ways of Looking at a Fat Girl Roberta spends her life trying not to take up space. At almost thirty, she is adrift and alienated from life. Stuck in a mindless job and reluctant to pursue her passion for food, she suppresses her appetite and recedes to the corners of rooms. But when she meets Stevie, a spirited and effervescent artist, their intense friendship sparks a change in Roberta, a shift in her desire for more. Together, they invent the Supper Club, a transgressive and joyous collective of women who gather to celebrate, rather than admonish, their hungers. They gather after dark and feast until they are sick; they break into private buildings and leave carnage in their wake; they embrace their changing bodies; they stop apologizing. For these women, each extraordinary yet unfulfilled, the club is a way to explore, discover, and push the boundaries of the space they take up in the world. Yet as the club expands, growing both in size and rebellion, Roberta is forced to reconcile herself to the desire and vulnerabilities of the body--and the past she has worked so hard to repress. Devastatingly perceptive and savagely funny, Supper Club is an essential coming-of-age story for our times.",science fiction
A Game of Thrones,"The kingdom of the royal Stark family faces its ultimate challenge in the onset of a generation-long winter, the poisonous plots of the rival Lannisters, the emergence of the Neverborn demons, and the arrival of barbarian hordes",science fiction
The House Across the Street,"The enthralling new novel from the 10 MILLION COPY & NUMBER ONE bestselling author. Is there a murderer across the street? It's 1964 and twenty-three-year-old Katy Speed is fascinated by Gloria and the goings-on at the house over the road. Who are the mysterious women that arrive in a black car most Saturdays? Then one night, Gloria's house burns to the ground. Bodies are found in the wreckage. And Katy's horror turns to disbelief when her own father is arrested and charged with murder. Determined to prove his innocence, Katy sets out to uncover the truth about the mysterious house across the street and find the real murderer. But that means risking her own life . . . _________ * * * * * - Heat 'Heart-warming and evocative, a real delight to read' Sun 'A narrative that gallops along, this is quintessential Pearse that will delight her army of readers' Daily Mail 'Glorious, heartwarming' Woman & Home 'Evocative, compelling, told from the heart' Sunday Express 'Gripping' Hello",science fiction
Big Little Lies,"DON’T MISS SEASON 2 OF THE GOLDEN GLOBE AND EMMY AWARD-WINNING HBO® SERIES STARRING REESE WITHERSPOON, NICOLE KIDMAN, SHAILENE WOODLEY, LAURA DERN, ZOË KRAVITZ, AND MERYL STREEP From the author of Nine Perfect Strangers, Truly Madly Guilty, and The Husband’s Secret comes the #1 New York Times bestselling novel about the dangerous little lies we tell ourselves just to survive. A murder...A tragic accident...Or just parents behaving badly? What’s indisputable is that someone is dead. Madeline is a force to be reckoned with. She’s funny, biting, and passionate; she remembers everything and forgives no one. Celeste is the kind of beautiful woman who makes the world stop and stare but she is paying a price for the illusion of perfection. New to town, single mom Jane is so young that another mother mistakes her for a nanny. She comes with a mysterious past and a sadness beyond her years. These three women are at different crossroads, but they will all wind up in the same shocking place. Big Little Lies is a brilliant take on ex-husbands and second wives, mothers and daughters, schoolyard scandal, and the little lies that can turn lethal.",science fiction
Camino Winds,"“The best thriller writer alive.” – Ken Follett John Grisham, #1 bestselling author and master of the legal thriller, sweeps you away to paradise for a little sun, sand, mystery, and mayhem. With Camino Winds, America’s favorite storyteller offers the perfect escape. Welcome back to Camino Island, where anything can happen—even a murder in the midst of a hurricane, which might prove to be the perfect crime . . . Just as Bruce Cable’s Bay Books is preparing for the return of bestselling author Mercer Mann, Hurricane Leo veers from its predicted course and heads straight for the island. Florida’s governor orders a mandatory evacuation, and most residents board up their houses and flee to the mainland, but Bruce decides to stay and ride out the storm. The hurricane is devastating: homes and condos are leveled, hotels and storefronts ruined, streets flooded, and a dozen people lose their lives. One of the apparent victims is Nelson Kerr, a friend of Bruce’s and an author of thrillers. But the nature of Nelson’s injuries suggests that the storm wasn’t the cause of his death: He has suffered several suspicious blows to the head. Who would want Nelson dead? The local police are overwhelmed in the aftermath of the storm and ill equipped to handle the case. Bruce begins to wonder if the shady characters in Nelson’s novels might be more real than fictional. And somewhere on Nelson’s computer is the manuscript of his new novel. Could the key to the case be right there—in black and white? As Bruce starts to investigate, what he discovers between the lines is more shocking than any of Nelson’s plot twists—and far more dangerous. Camino Winds is an irresistible romp and a perfectly thrilling beach read—# 1 bestselling author John Grisham at his beguiling best.",science fiction
Nadja,"""Nadja, "" originally published in France in 1928, is the first and perhaps best Surrealist romance ever written, a book which defined that movement's attitude toward everyday life. The principal narrative is an account of the author's relationship with a girl in teh city of Paris, the story of an obsessional presence haunting his life. The first-person narrative is supplemented by forty-four photographs which form an integral part of the work -- pictures of various ""surreal"" people, places, and objects which the author visits or is haunted by in naja's presence and which inspire him to mediate on their reality or lack of it. ""The Nadja of the book is a girl, but, likeBertrand Russell's definition of electricity as ""not so much a thing as a way things happen, "" Nadja is not so much a person as the way she makes people behave. She has been described as a state of mind, a feeling about reality, k a kind of vision, and the reader sometimes wonders whether she exists at all. yet it is Nadja who gives form and structure to the novel.",science fiction
Josh and Hazel's Guide to Not Dating,"Most men can’t handle Hazel. With the energy of a toddler and the mouth of a sailor, they’re often too timid to recognize her heart of gold. New York Times and #1 international bestselling author Christina Lauren (Roomies, Beautiful Bastard) tells the story of two people who are definitely not dating, no matter how often they end up in bed together. Hazel Camille Bradford knows she’s a lot to take—and frankly, most men aren’t up to the challenge. If her army of pets and thrill for the absurd don’t send them running, her lack of filter means she’ll say exactly the wrong thing in a delicate moment. Their loss. She’s a good soul in search of honest fun. Josh Im has known Hazel since college, where her zany playfulness proved completely incompatible with his mellow restraint. From the first night they met—when she gracelessly threw up on his shoes—to when she sent him an unintelligible email while in a post-surgical haze, Josh has always thought of Hazel more as a spectacle than a peer. But now, ten years later, after a cheating girlfriend has turned his life upside down, going out with Hazel is a breath of fresh air. Not that Josh and Hazel date. At least, not each other. Because setting each other up on progressively terrible double blind dates means there’s nothing between them...right?",science fiction
The Book of Lost Friends,"NEW YORK TIMES BESTSELLER • From the bestselling author of Before We Were Yours comes a new historical novel: the dramatic story of three young women searching for family amid the destruction of the post–Civil War South, and of a modern-day teacher who learns of their story and its vital connection to her students’ lives. Bestselling author Lisa Wingate brings to life startling stories from actual “Lost Friends” advertisements that appeared in Southern newspapers after the Civil War, as newly freed slaves desperately searched for loved ones who had been sold away. Louisiana, 1875: In the tumultuous era of Reconstruction, three young women set off as unwilling companions on a perilous quest: Hannie, a freed slave; Lavinia, the pampered heir to a now destitute plantation; and Juneau Jane, Lavinia’s Creole half sister. Each carries private wounds and powerful secrets as they head for Texas, following roads rife with vigilantes and soldiers still fighting a war lost a decade before. For Lavinia and Juneau Jane, the journey is one of stolen inheritance and financial desperation, but for Hannie, torn from her mother and siblings before slavery’s end, the pilgrimage west reignites an agonizing question: Could her long-lost family still be out there? Beyond the swamps lie the limitless frontiers of Texas and, improbably, hope. Louisiana, 1987: For first-year teacher Benedetta Silva, a subsidized job at a poor rural school seems like the ticket to canceling her hefty student debt—until she lands in a tiny, out-of-step Mississippi River town. Augustine, Louisiana, is suspicious of new ideas and new people, and Benny can scarcely comprehend the lives of her poverty-stricken students. But amid the gnarled live oaks and run-down plantation homes lie the century-old history of three young women, a long-ago journey, and a hidden book that could change everything.",science fiction
A Modest Proposal,"How do you solve the problem of poverty? By letting the Irish sell their children to be eaten by wealthy ladies and gentlemen, of course! This satirical short work by Jonathan Swift is a classic look at the cost of poverty. This digital edition from Xist Classics features a beautifully formatted and professionally proofed version of the original text. Xist Publishing is a digital-first publisher. Xist Publishing creates books for the touchscreen generation and is dedicated to helping everyone develop a lifetime love of reading, no matter what form it takes",science fiction
