title,description,genre
how we learn,from an early age we are told that restlessness distraction and ignorance are the enemies of success  learning is all self discipline so we must confine ourselves to designated study areas turn off the music and maintain a strict ritual  what he discovers is that from the moment we are born we all learn quickly efficiently and automatically but in our zeal to systematize the process we have ignored valuable naturally enjoyable learning tools like forgetting sleeping and daydreaming  is a dedicated desk in a quiet room really the best way to study can altering your routine improve your recall are there times when distraction is good is repetition necessary carey's search for answers to these questions yields a wealth of strategies that make learning more a part of our everyday lives and less of a chore  from publisher description ,romance
"dear bill, remember me?",stories about eight young women who have grit and humor in dealing with their problems ,romance
we hate everything but boys, this was the first linda book that i read even though it is the third book in the series  it has remained my favorite one  but their club is ruined when the boys that they like find out about their club  and suzy and darlene blame linda  can linda win back her best friends sharon thomas / reviewed in the united states jan 30 2001 / 5 of 5 stars the best book to grow up with as a preteen: i love this book i read it when i was in the 6th grade   i am normally not the type to be reading   but i started reading this book and i enjoyed it so much when i was done    now i'm in 10th grade and till this day i wont ever forget it    it's like the exact life a 13 year old would experience    i would recommend this book to every teenage girl that has guys as one of their interests like i do julianne / reviewed in the united states january 27 2000 / 5 of 5 stars / passed around the playgroundi remember reading this book when i was 11 years old and in the fifth grade (back in 1985) and it was definitely a 'rite of passage' for myself as well as every girlfriend of mine i never forgot about this book  it left a permanent but positive mark  a definite read for pre teens ,romance
the dead room,a year ago archaeologist leslie macintyre barely survived the explosion that took the life of her fianc matt connolly  in the long months since she's slowly come to terms not only with her loss but with her unsettling new ability to communicate with ghosts a dubious 'gift' received in the wake of her own brush with death  now she's returned to manhattan's historic hastings house site of the explosion to conquer her fears and investigate a newly discovered burial ground  in this place restless spirits hold the secrets not only of past injustice but of a very real contemporary conspiracy with deadly designs on the city's women including leslie herself  as she is drawn closer to the darkness at the heart of hastings house she must ultimately face the power of an evil mind alone in a place where not even the men she loves can save her  from publisher description ,romance
the vision, when a dead woman washes up on shore everyone assumes this is genevieve's vision  but genevieve knows the truth: the dead woman is not the ghost she saw but another victim of the same brutal killer  from publisher description ,romance
the brass dolphin,on the island of malta during world war ii british nurse lila cunningham awaits the return of her love a british soldier of noble birth  but will he marry a woman below his rank meanwhile a native maltese teacher pines for her ,romance
another thing to fall,when the production of a hollywood film in baltimore brings mayhem and murder to the area private investigator tess monaghan finds her job complicated by the acting skills of her numerous suspects ,romance
vampire kisses 2,sixteen year old raven a vampire obsessed goth girl searches for her true love alexander who she has learned is a real vampire ,romance
cowboy trouble,libby brown finds the help of her cowboy neighbor luke rawlins invaluable as she tries to make the transition from big city journalist to chicken farmer but when the pair gets embroiled in a local crime they find their growing attraction proves only to complicate their lives ,romance
one intimate night,working together   and sleeping together piers's relationship with georgia was strictly business  pure and simple  this should have made their living under the same roof a relatively straightforward affair but somehow piers couldn't stop her from stealing into his thoughts  he wasn't a man to act on impulse    ,romance
practice makes perfect,payton kendall and j d  jameson are lawyers who know the meaning of objection  a feminist to the bone payton has fought hard to succeed in a profession dominated by men  born wealthy privileged and cocky j d   has fought hard to ignore her  face to face they are perfectly civil  they have to be  for eight years they have kept a safe distance and tolerated each other as coworkers for one reason only: to make partner at the firm  but all bets are off when they're asked to join forces on a major case    p [4] of cover ,romance
garden of scandal,laurel bancroft has lived for years like a recluse isolating herself from a town that has branded her a murderer  but now convinced people have finally forgotten she is ready to resume her life  then laurel meets alec stanton  hired to help her redesign her garden  alec is a stranger with a mysterious past  though more than ten years younger alec is exactly what laurel needs: intelligent talented passionate  but as their relationship grow so does a dangerous threat against them  someone wants laurel to return to her seclusion and give up her younger lover someone who hasn't forgotten that night so many years ago ,romance
challenge to honor,celina's brother challenges new orleans's most infamous swordsman to a duel  in order to save her brother from certain death celina confronts his opponent rio de silva  he agrees to spare her brother but his price is celina's innocence ,romance
warrior angel,a former knight templar who had been betrayed and killed derek de molay has spent eternity battling the dark angels of hell until he is sent back to the mortal realm to protect rachel duncan from the darkness that surrounds her and to save the mortal souls of all humankind ,romance
the courtship dance,an expert matchmaker but unable to find her own husband lady francesca haughston decides to help the duke of rochford who broke her heart years earlier find the perfect wife which leads to a temptation that could result in scandal ,romance
twisted,former fbi special agent sloane burbank survived a life threatening injury sustained in the line of duty only to face leaving a job she loves in order to recuperate  as an independent consultant she now uses her specialized skills to train law enforcement and private organizations in crisis resolution  but when one of her closest childhood friends mysteriously disappears and the woman's parents beg for her help sloane takes the case even though her ex lover derek parker is the fbi agent in charge ,romance
the rogue hunter,on a well deserved vacation from her fast track job as a lawyer samantha willan is looking forward to hanging out with her sisters at their family's cottage  rogue hunter garrett mortimer has been sent by the council to search for an errant vampire who has been biting mortals  when the two cross paths in the middle of nowhere romance intrudes on sam's r r and garrett's mission ,romance
the company we keep,gorgeous successful executive teri stewart spends her days working for l a 's hottest record company and her nights all alone  her best friend nicole is determined to find teri a man but she hasn't had much luck because teri wants more than mr  maybe  she's holding out for mr  right and won't settle for anything less  just when teri is ready to give up a man from her past returns to reignite their romance  with his sultry smile and easy going charm radio dj harrison starr is one of a kind and teri can't deny she's fallen hard for him again  with her life finally falling into place teri thinks her dreams might come true after all  but harrison may have a secret that could change everything  p  [4] of cover ,romance
taken by the night,an enigmatic sexy six hundred year old vampire risks everything to protect the woman he loves when the irresistible ivy dearing the daughter of the infamous madame of the notorious london brothel maison rouge enlists his aid to help her find the evil killer responsible for the deaths of two of her friends ,romance
to seduce a bride,determined to resist the seductive attention of the marquess of claybourne lilian loring decides to hide from her suitor in a house of scandalous repute where she spends her time instructing the demimonde in the art of deportment and manners ,romance
the séance,a oujia board summons the spirit of detective beau kidd who wants to clear his name in the interstate killer murders  christina hardy must convince jett braden a cop turned writer that she holds the key to catching the real killer ,romance
deadly harvest,while in salem massachusetts looking for his friend's wife who mysteriously vanished cop jeremy flynn is drawn into a murder investigation involving the infamous harvest man and teams up with a local occult expert who disagrees with his methods ,romance
deadly gift,after arriving in america as an irish nurse banshee caer donahue yearns for a mortal life when she is submerged in a mystery of sunken treasure and attempted murder which leads her into the loving arms of zach flynn ,romance
one intimate night,working together   and sleeping together piers's relationship with georgia was strictly business  pure and simple  this should have made their living under the same roof a relatively straightforward affair but somehow piers couldn't stop her from stealing into his thoughts  he wasn't a man to act on impulse    ,romance
the séance,a oujia board summons the spirit of detective beau kidd who wants to clear his name in the interstate killer murders  christina hardy must convince jett braden a cop turned writer that she holds the key to catching the real killer ,romance
taken by the night,an enigmatic sexy six hundred year old vampire risks everything to protect the woman he loves when the irresistible ivy dearing the daughter of the infamous madame of the notorious london brothel maison rouge enlists his aid to help her find the evil killer responsible for the deaths of two of her friends ,romance
the courtship dance,an expert matchmaker but unable to find her own husband lady francesca haughston decides to help the duke of rochford who broke her heart years earlier find the perfect wife which leads to a temptation that could result in scandal ,romance
practice makes perfect,payton kendall and j d  jameson are lawyers who know the meaning of objection  a feminist to the bone payton has fought hard to succeed in a profession dominated by men  born wealthy privileged and cocky j d   has fought hard to ignore her  face to face they are perfectly civil  they have to be  for eight years they have kept a safe distance and tolerated each other as coworkers for one reason only: to make partner at the firm  but all bets are off when they're asked to join forces on a major case    p [4] of cover ,romance
challenge to honor,celina's brother challenges new orleans's most infamous swordsman to a duel  in order to save her brother from certain death celina confronts his opponent rio de silva  he agrees to spare her brother but his price is celina's innocence ,romance
the company we keep,gorgeous successful executive teri stewart spends her days working for l a 's hottest record company and her nights all alone  her best friend nicole is determined to find teri a man but she hasn't had much luck because teri wants more than mr  maybe  she's holding out for mr  right and won't settle for anything less  just when teri is ready to give up a man from her past returns to reignite their romance  with his sultry smile and easy going charm radio dj harrison starr is one of a kind and teri can't deny she's fallen hard for him again  with her life finally falling into place teri thinks her dreams might come true after all  but harrison may have a secret that could change everything  p  [4] of cover ,romance
to seduce a bride,determined to resist the seductive attention of the marquess of claybourne lilian loring decides to hide from her suitor in a house of scandalous repute where she spends her time instructing the demimonde in the art of deportment and manners ,romance
"templar knight, forbidden bride",a hardened battle weary warrior reynaud has forgotten what it is to be in the company of a beautiful woman to delight in her comfort and warmth  on his return to granada he is drawn to leonor and senses that she could heal his hidden scars  she is set upon a dangerous path a path that they travel together becoming closer every day  every night  but such forbidden passion may be their undoing ,romance
my wicked marquess,to restore family honor the marquess of rotherstone faces his most dangerous mission finding the perfect bride  to london's aristocracy the inferno club is a scandalous society of men no proper young lady would acknowledge  but though they are publicly notorious for pursuing all manner of debauchery in private they are warriors who would do anything to protect king and country  the marquess of rotherstone has decided it's time to restore the family's good name  but as a member of the inferno club he knows there is only one way to redeem himself in society's eyes: marry a lady of impeccable beauty and breeding whose reputation is above all spotless  someone quite unlike daphne starling  true she's temptingly lovely but a jilted suitor has nearly ruined her reputation  still max cannot resist her allure or the challenge of proving london's gossips wrong  he would do anything to win her hand and show that even a wicked marquess can make a perfect husband  from publisher's web site ,romance
watch me,twelve years have passed since teenagers sheridan kohl and jason wyatt were shot by an unknown assailant in whiterock tennessee  sheridan survived but the shooter was never captured  now a new development in the case brings sheridan back to whiterock but someone doesn't want her to come home ,romance
salzano's captive bride,marco salzano is furious one moment of passion in the sultry heat of carnaval has had its price  burning with suspicion and anger the arrogant venezuelan is going to track down his errant one night stand and claim his love child but he's accusing the wrong woman  pretending to be her sister fragile amber convinces marco that the baby in question is not his  but when marco discovers her deception he vows to take amber not as his mistress but as his bride  p  [4] of cover ,romance
a killing frost,haunted by a terrible secret dr  jama keith returns to her hometown of river dance missouri  after the young niece of her former fianc terell mercer is abducted the search puts terell and jama in peril ,romance
the redemption of rafe diaz,seven years ago private investigator rafe diaz went to prison for a crime he didn't commit and allie fielding's testimony helped put him there  now the popular socialite holds his client's fate in her manicured hands  but this time the charge is murder one  and rafe intends to question allie until that glossy mouth of hers tells the truth  shooting daggers from those smoldering eyes rafe could easily pass for the bad guy allie once thought he was  but now her one time enemy is the only man who can protect her  because a cold blooded murderer wants to ensure she never gets another day on the witness stand    p [4] of cover ,romance
secrets of a sinner,natalie coleman returns to the mississippi home she ran from years ago to get some much needed comfort and advice from her grandmother big mama who helps her confront the painful events of her past and get her life back on track ,romance
in the argentine's bed,it was just one simple mission  find out whether a winemaker in argentina was a new york millionaire's long lost son  but susannah clarke quickly learned amado alvarez played by his own rules  he'd give her the dna sample she wanted  if she spent the night with him and in a moment of madness she'd given in to his demand and to her own desire  now she had to return to south america to face this compelling sensuous man again  and to face this compelling sensuous man again  and to face the consequences of that one unforgotten unforgettable night in a stranger's bed    ,romance
dying for you,lucie evans wants a fresh start and the chance to show ex boss sawyer mcnamara that she no longer craves absolution for a crime she didn't commit  so when she's offered a trip to south america as the personal bodyguard to a billionaire heiress lucie jumps at the prospect  but then she's kidnapped in a case of mistaken identity and her only hope of survival rests with the one man she never wanted to see again ,romance
"texas ranger, runaway heiress",she prefers guns to gowns and riding the land to dancing at balls  so heiress gabrielle price heads across texas's most dangerous territory to break her unwanted society engagement  only her biggest problem isn't outlaws and killers  it's a rugged relentless texas ranger     with a killer to catch hudson stone has better things to do than escort his commander's spoiled socialite daughter  but his fiery charge is as irresistible as she is off limits and to protect her he'll risk his reputation his life and his heart  p  [4] cover ,romance
the bleeding dusk,to gain access to the secrets of a legendary alchemist rome's vampires have allied themselves with creatures as evil and bloodthirsty as they are  the new leader of the city's vampire hunters lady victoria gardella grantworth de lacy reluctantly turns to the enigmatic sebastian vioget for help just as maximilian pesaro arrives to aid his fellow slayers no matter what the sacrifice  desire puts her at the mercy of sebastian while loyalty binds her to max but she does not know if she can trust either  especially when a seductive vampire begins luring her into the shadows    from publisher description ,romance
let me in,tate winslow is done with all the guns the adventures the brushes with death  all she wants is to be left alone  so when her enigmatic ex boss shows up on her doorstep barely alive she really tries not to care  he's all alpha male the baddest of the bad  and a threat to her hard won peace in more ways than one  tate is the only lead derek cole has on a case that could blow the intelligence world apart  if it doesn't kill him before he can figure it out  she was his best agent but she's in hiding and he's gone rogue and he's starting to think of her in a very nonprofessional way  in fact he wants tate like he wants his next breath but he's already risking his life and his career does he need to put his heart in danger too  p  [4] of cover ,romance
the blackmail bargain,blackmailed in the billionaire's bed a gold digging home wrecker isn't curt mcintosh's ideal woman  but it seems that's exactly what he's got with peta grey  for curt there is only one way to stop her   blackmail in reality peta is a penniless virgin trying to survive  she accepts curt's ultimatum and agrees to act as his mistress  but the terms of the deal aren't clear  peta thought their relationship was purely business so why has she just woken up naked in curt's bed ,romance
the vampire's quest,after escaping from the otherworld crime unit kellen falcon came to nouveau monde to crack a rare blood disease   but the european hotbed of temptation yielded sport no vampire could resist criminologist sophie st  clair   and with only days to live kellen sought sweet release from her to escape a savage past   the lycan beauty wasn't one to stray from her pact   but an investigation into a downtown bombing now tied the two together   and it wasn't long before kellen's smoldering eyes and sophie's fierce desire for this vampire put her loyalties to the test cover verso ,romance
quade's babies,quade westmoreland's one night love affair with cheyenne had branded him body and soul but he'd never even learned her last name  almost a year later driven by memories and one incriminating photo the sexy operative had finally tracked her down and discovered three little babies bearing his features  learning he was a father made quade even more determined: he would claim cheyenne steele in every way  shockingly the irresistible beauty seemed intent on resisting him  but the westmoreland destiny was at stake and quade would fight for what was his     p  [4] of cover ,romance
the parson's christmas gift,desperate to escape her past miss journey smith heads deep into montana territory  then a terrible accident strands her in the tiny town of walten during the christmas season  the townspeople welcome journey into their hearts and homes leading her to dream of a normal life full of happiness holidays and the town's handsome parson  enchanted by the troubled beauty zane thompson knows journey is not what she seems  but she can't or won't trust him with her secrets especially when her past reappears with a vengeance  soon the parson must risk his life and his faith to offer journey the greatest christmas gift of all his heart ,romance
breakpoint,when former air force combat controller dallas o'halloran is teamed up with gorgeous jag officer julianne decatur to investigate a navy flyer's apparent suicide their mission takes a dangerous turn as they succumb to temptation ,romance
to sin with a stranger,the seven sinclair brothers and sisters live for scandal and delight in disgrace until their father decrees that they must reform  propriety has never come easily but now they have no choice ,romance
succubus on top,it seems completely unfair that a she demon whose purpose is seduction can't get hot and heavy with the one mortal who knows and accepts her for what she is ,romance
breaking loose,no one's ever seen it  everybody wants it  that's why the government has just unleashed its secret weapon  drop dead grogeous art dealer suzi toussi has been tapped for the toughest mission of her career: to locate the memphis sphinx an ancient artifact rumored to possess otherworldly powers  tracking it to paraguay means going up against dax killian the sexy special ops agent who's planning to snatch the coveted relic right out of her hot little hands  if he can find it first     dax first spotted her outside a seedy bar in three inch heels and a too tight dress  he'd know those curves anywhere  but what was suzi doing in a hellhole like ciudad del este dax knows the answer: the sphinx  suddenly the game is on and only one of them will walk away with the prize  with the sphinx surfacing and passion taking suzi and dax under they're headed for a showdown that could reveal the secrets of the ages   or expose them to the hottest danger of all  p  [4] of cover ,romance
redneck cinderella,raised by her widowed father jolie russell can keep up with any man until sexy land developer cody dean struts into her life  cody buys the russell farm then relocates jolie and her dad to the copper creek estates where two worlds soon collide ,romance
demon can't help it,the selfish sensual demon maksim falls for the one woman who can resist him and their erotic couplings result in complications  the suspense of the subplot concerning jo's dead sister comes to naught and maksim's search for his sister is too easily concluded ,romance
blackmailed for her baby,libby vincent wants to tell romano vincenzo why she allowed his ruthless family to take her baby from her  but the dark hearted billionaire isn't in the mood for listening  he needs libby back in his life and he knows she will do anything to see her child  even marry her most bitter enemy he'll take her as his bride but romano doesn't do love  p  [4] of cover ,romance
mom's the word,when her tall dark delicious husband joins their three kids in calling her 'mom ' karol simons has an identity crisis  sure she loves the pint sized trio but what's happened to her dreams of writing a novel determined to have it all she jumps on her husband's offer to take over as 'mom' for three weeks  neighbor dyanne has baby fever but didn't expect to get motherhood practice on her neighbor's three rambunctious children  yet after seeing the kids' father so in over his head the career woman trades her glamorous clothes and four inch heels for the playground and potty training  she hopes to convince her reluctant husband they should start a family of their own right away  everyone's in for some big surprises     p  [4] of cover ,romance
just breathe,with chicago  and her marriage  in the rearview mirror cartoonist sarah moon flees to the small northern california coastal town where she grew up  as she comes to terms with her lost marriage sarah encounters a man she never expected to meet again: will bonner the high school heartthrob she'd skewered mercilessly in her old comics  now a local firefighter he's been through some changes himself  but just as her heart is about to reawaken sarah discovers she is pregnant  with her ex's twins ,romance
speed dating (harlequin nascar #2),one minute i'm locked out of my hotel room and the next   dylan hargreave thinks i'm an actress paid to pose as his girlfriend at a north carolina society wedding  how did this happen to me of all people kendall clarke award winning actuary the veritable shining star of number crunchers who just hours ago learned her responsible fiance (sorry ex fiance ) called off our wedding because he'd gotten one of my colleagues pregnant  what are the odds don't tell me you've never heard of dylan hargreave  celebrity nascar driver people magazine's sexiest man of the year those eyes  that smile    forget sensible i've assessed the risk   and i'm taking it i usually keep the brakes on but as of now i'm taking a vacation  from me ,romance
wedding bell blues,if kaitlin o'herlihy got one more wedding invitation she was going to scream  suddenly everyone including her grandmother was getting married  it was making a shambles of her well ordered existence  it had also brought a certain brendan o'herlihy back into her life as the best man  that troublesome ex husband of hers seemed to be everywhere making a perfect nuisance of himself  he was as maddening and exciting as ever and she could certainly do without any pesky reminders that he might be the best man for her   back cover ,romance
night keepers,miami narcotics detective leah daniel never expected to become the sacrificial victim in an ancient mayan blood ritual intended to bring a demon from the underworld or to be rescued by jaguar strike a handsome warrior priest king who claims that he has recognized her from his visions ,romance
homecoming at hickory ridge,all eyes are on kyle lancaster   recently released from prison he is greeted in town with unease   but not by everyone   julia sims is focused on his good heart his hard work at the hickory ridge community church and their unexpected attraction   at first kyle thinks he's her new pet project: reform the bad boy   yet he soon discovers how much first hand knowledge julia has of his problems forgiveness and second chances   maybe he'll get his own second chance in hickory ridge and find a place to call home  back cover ,romance
in the tycoon's bed,nicole's relationship with her handsome boss is not just a nine to five affair  she and luke santana work hard and play hard  but by his rules: no complications just perfect passion  but rules are made to be broken  realizing her feelings will never be reciprocated nicole leaves her job and ends their liaison  however what will luke do when he uncovers nicole's secret  one requiring more commitment than just some after hours loving p  [4] of cover ,romance
to catch a thief,the daughter of a notorious art thief nell macinnes can spot a forgery a mile away  after a da vinci sketch goes missing navy seal dakota smith needs nell's skill in detecting forgery ,romance
the seduction of an unknown lady,when she encounters lord aidan mcbride on a moonlit street fionna hawkes who knows nothing about seduction is instantly drawn to him and longs to share a secret that could cost her livelihood and her life ,romance
finding family,rachel madison an interior designer desperately needs some stability in her life and it may just come in the form of sexy doctor mark thomas but soon mark's own world is set askew after a shocking familial revelation ,romance
dave's song,alternating chapters present the view points of a high school boy and girl long time schoolmates who finally become curious about each other ,romance
deadly night,aidan flynn a private investigator and eldest of the flynn brothers scoffs at the rumors the new orleans plantation his family has inherited is haunted  after he finds a human bone on the grounds aidan is joined by the tarot card reader kendall montgomery to uncover the truth ,romance
tempting danger,when san diego police detective lily yu enlists the help of a werewolf to catch a brutal serial killer passion rages between them as they are plunged into a dark world of danger and evil ,romance
die before i wake,just five days after they meet julie hanrahan and dr  thomas larkin exchange vows on a moonlit caribbean beach the whirlwind conclusion to a romance that's swept her off her feet  tom is sexy witty and charming and julie's sure she's found her prince charming  but not every fairy tale ends happily ever after  with a workaholic husband a hostile mother in law and a resentful stepdaughter the honeymoon doesn't last long  especially after julie finds out that tom's first wife didn't die in an accident after all  the cops called her death a suicide but julie is convinced that somebody helped beth over the side of the swift river bridge  every marriage has its secrets  julie is starting to wonder if she'll survive discovering the truth about hers   or die before she wakes  p  [4] cover ,romance
seduced by sin,plagued by dreams of her mother's scandalous murder ten years earlier lady aimee daventry finds a protector in family friend and soldier royce grenville viscount stonehurst when her quest for justice places her life in grave danger ,romance
a daring passion,raine wimbourne vows to uphold her father's legacy as champion of the poor but finds trouble in the form of dashing philippe gautier who believes that she is the key to saving his brother's life ,romance
the hiding place,after spending nine months in a coma tara kinsale awakes to devastating news  her best friend alexis has been murdered leaving tara as guardian to her daughter claire  and tara's husband has divorced her for another woman  forced to start over tara focuses on reopening her p i  firm and caring for claire  but soon her world is shattered again when nick macmahon claire's uncle returns from military service in afghanistan to take guardianship of his niece  the bad dream turns unbearable when tara learns that something precious was taken from her while she was in a coma  working with nick a man haunted by his own past tara begins to investigate the missing months of her life  together they will find that secrets don't stay buried forever even when they are kept in the darkest of hiding places ,romance
the sicilian's defiant mistress (harlequin presents),when revenge secrets and passion ignite cass can't continue with a relationship that involves just her body when her heart is breaking     but the deal she made with sicilian tycoon maximos borsellino was for sex  and when that fails to be enough for cass maximos ends the affair  cass is completely destroyed  worse she discovers she's pregnant    ,romance
