title,description,genre
London Bridges," On vacation, FBI agent Alex Cross gets the call: the blast was perpetrated by the Wolf  A supercriminal and Cross's deadliest nemesis, the Wolf threatens to obliterate major cities, including London, Paris, and New York  Then evidence reveals the involvement of a ruthless assassin known as the Weasel  Could these two dark geniuses be working together? Now with just four days to prevent an unimaginable cataclysm, Cross is catapulted into an international chase of astonishing danger --- and toward the explosive truth about the Wolf's identity, a revelation that Cross may not survive ",mystery
Blind Descent,"Lechuguilla Cavern is a man-eating cave discovered in New Mexico's Carlsbad Caverns National Park in the mid-1980s  Estimated to extend for more than three hundred miles, only ninety of them mapped, the cave was formed by acid burning away the limestone; corridors, pits, cramped wormholes, cliffs, and splendid rooms the size of football fields tangle together in a maze shrouded in the utter darkness of the underground  When a fellow ranger is injured in a caving accident, Anna swallows her paralyzing fear of small spaces and descends into Lechuguilla to help a friend in need  Worse than the claustrophobia that haunts her are the signs - some natural and some, more ominously, manmade - that not everyone is destined to emerge from this wondrous living tomb  The terrain is alien and hostile; the greed and destructive powers of mankind all too familiar  In this place of internal terrors, Anna must learn who it is she can trust and, in the end, decide who is to live and who is to die ",mystery
Brownies and Broomsticks,"EASY BAKE COVEN Katie Lightfoot's tired of loafing around as the assistant manager of an Ohio bakery  So when her aunt Lucy and uncle Ben open a bakery in Savannah's quaint downtown district and ask Katie to join them, she enthusiastically agrees  While working at the Honeybee Bakerynamed after Lucy's catKatie notices that her aunt is adding mysterious herbs to her recipes  Turns out these herbal enhancements aren't just tastyAunt Lucy is a witch and her recipes are actually spells! When a curmudgeonly customer is murdered outside the Honeybee Bakery, Uncle Ben becomes the prime suspect  With the help of handsome journalist Steve Dawes, charming firefighter Declan McCarthy, and a few spells, Katie and Aunt Lucy stir up some toil and trouble to clear Ben's name and find the real killer  ",mystery
Echoes in Death,"D  Robb is the perfect entry point into the compelling In Death police procedural series featuring Lieutenant Eve Dallas As NY Lt  Eve Dallas and her billionaire husband Roarke are driving home, a young womandazed, naked, and bloodysuddenly stumbles out in front of their car  Roarke slams on the brakes and Eve springs into action Daphne Strazza is rushed to the ER, but its too late for her husband Dr  Anthony Strazza  A brilliant orthopedic surgeon, he now lies dead amid the wreckage of his obsessively organized town house, his three safes opened and emptied  Daphne would be a valuable witness, but in her terror and shock the only description of the perp she can offer is repeatedly calling him the devil   While it emerges that Dr  Strazza was cold, controlling, and widely disliked, this is one case where the evidence doesnt point to the spouse  So Eve and her team must get started on the legwork, interviewing everyone from dinner-party guests to professional colleagues to caterers, in a desperate race to answer some crucial questions:What does the devil look like? And where will he show up next?",mystery
A Dangerous Thing,"Suffering from writer's block and frustrated with his tentative relationship with hot but closeted L A P D  Homicide Detective Jake Riordan, gay bookseller and mystery writer Adrien English travels to northern California where he finds a body in his front drive  By the time the sheriffs arrive, the body has disappeared, and Adrien once again finds himself playing amateur sleuth  But when the game turns deadly, Adrien turns to Jake  Jake may be confused about some things, but keeping his lover alive is not one of them--no matter what the cost Who are the mysterious strangers excavating on his land? And will he sort out his problems with LAPD Detective Jake Riordan, heavily into S/M sex but not so hot on relationships? Find out in this engrossing, slyly witty thriller ",mystery
Book Scavenger,"A hidden book  A found cipher  A game begins        Twelve-year-old Emily is on the move again  But Emily soon learns that Griswold has been attacked and is in a coma, and no one knows anything about the epic new game he had been poised to launch  Then Emily and her new friend James discover an odd book, which they come to believe is from Griswold and leads to a valuable prize  But there are others on the hunt for this book, and Emily and James must race to solve the puzzles Griswold left behind before Griswold's attackers make them their next target ",mystery
Once Upon a River,"On a dark midwinters night in an ancient inn on the river Thames, an extraordinary event takes place  The regulars are telling stories to while away the dark hours, when the door bursts open on a grievously wounded stranger  In his arms is the lifeless body of a small child  Hours later, the girl stirs, takes a breath and returns to life  Is it a miracle? Is it magic? Or can science provide an explanation? These questions have many answers, some of them quite dark indeed Those who dwell on the river bank apply all their ingenuity to solving the puzzle of the girl who died and lived again, yet as the days pass the mystery only deepens  The child herself is mute and unable to answer the essential questions: Who is she? Where did she come from? And to whom does she belong? But answers proliferate nonetheless Three families are keen to claim her  A wealthy young mother knows the girl is her kidnapped daughter, missing for two years  A farming family reeling from the discovery of their sons secret liaison, stand ready to welcome their granddaughter  The parsons housekeeper, humble and isolated, sees in the child the image of her younger sister  But the return of a lost child is not without complications and no matter how heartbreaking the past losses, no matter how precious the child herself, this girl cannot be everyones  Each family has mysteries of its own, and many secrets must be revealed before the girls identity can be known  Suspenseful, romantic, and richly atmospheric, the beginning of this novel will sweep you away on a powerful current of storytelling, transporting you through worlds both real and imagined, to the triumphant conclusion whose depths will continue to give up their treasures long after the last page is turned ",fantasy
Apple Turnover Murder,"Early summer brings plenty of work for baker Hannah Swensen, even before Mayor Bascomb's wife drops by The Cookie Jar to place an order for her charity event   For eleven-hundred cookies! And Hannah almost flips when her business partner, Lisa, suggests setting up an apple turnover stand  But she places her faith in Lisa and agrees to be a magician's assistant in the fundraiser's talent show  The only snag is the show's host, college professor Bradford Ramsey  Hannah and her sister, Michelle, each had unfortunate romances with Ramsey, and when the cad comes sniffing around between acts, Hannah tells him off  But when the curtain doesn't go up, she discovers Ramsey backstage - dead, with a turnover in his hand  Now Hannah must find a killer who's flakier than puff pastry - and far more dangerous ",mystery
Worth Dying For,"       Child manages to get an amazing amount of suspense into the novel Associated Press  Theres deadly trouble in the corn county of Nebraska       and Jack Reacher walks right into it  First he falls foul of the Duncans, a local clan that has terrified an entire county into submission  But its the unsolved, decades-old case of a missing child that Reacher cant let go   The Duncans want Reacher goneand its not just past secrets theyre trying to hide  For as dangerous as the Duncans are, theyre just the bottom of a criminal food chain stretching halfway around the world  For Reacher, it would have made much more sense to put some distance between himself and the hard-core trouble thats bearing down on him  For Reacher, that was also impossible  A model of suspenseful storytelling and an outstanding addition to a series that stands in the front rank of modern thrillers The Washington PostStill the thinking mans action hero, supreme butt-kicker and smartest guy in the room The Seattle TimesThis series is about as good as pop fiction gets The Miami Herald",mystery
The President Is Missing,"As the novel opens, a threat looms  Enemies are planning an attack of unprecedented scale on America  Uncertainty and fear grip Washington  There are whispers of cyberterror and espionage and a traitor in the cabinet  The President himself becomes a suspect, and then goes missing    And it could all really happen ",mystery
Little Monsters,"Kacey is the new girl in Broken Falls  When she moved in with her father, she stepped into a brand-new life  A life with a stepbrother, a stepmother, and strangest of all, an adoring younger half sister Kaceys new life is eerily charming compared with the wild highs and lows of the old one she lived with her volatile mother  And everyone is so nice in Broken Fallsshes even been welcomed into a tight new circle of friends  Bailey and Jade invite her to do everything with them Which is why its so odd when they start acting distant  And when they dont invite her to the biggest party of the year, it doesnt exactly feel like an accident But Kacey will never be able to ask, because Bailey never makes it home from that party  Suddenly, Broken Falls doesnt seem so welcoming after allespecially once everyone starts looking to the new girl for answers Kacey is about to learn some very important lessons: Sometimes appearances can be deceiving  Sometimes when youre the new girl, you shouldnt trust anyone ",mystery
Paragon Walk,   ,mystery
The Franchise Affair,"Robert Blair was about to knock off from a slow day at his law firm when the phone rang  It was Marion Sharpe on the line, a local woman of quiet disposition who lived with her mother at their decrepit country house, The Franchise  It appeared that she was in some serious trouble: Miss Sharpe and her mother were accused of brutally kidnapping a demure young woman named Betty Kane  Miss Kane's claims seemed highly unlikely, even to Inspector Alan Grant of Scotland Yard, until she described her prison -- the attic room with its cracked window, the kitchen, and the old trunks -- which sounded remarkably like The Franchise  Yet Marion Sharpe claimed the Kane girl had never been there, let alone been held captive for an entire month! Not believing Betty Kane's story, Solicitor Blair takes up the case and, in a dazzling feat of amateur detective work, solves the unbelievable mystery that stumped even Inspector Grant ",mystery
To Die But Once,"During the months following Britains declaration of war on Germany, Maisie Dobbs investigates the disappearance of a young apprentice working on a hush-hush government contract  As news of the plight of thousands of soldiers stranded on the beaches of France is gradually revealed to the general public, and the threat of invasion rises, another young man beloved by Maisie makes a terrible decision that will change his life forever Maisies investigation leads her from the countryside of rural Hampshire to the web of wartime opportunism exploited by one of the London underworlds most powerful men, in a case that serves as a reminder of the inextricable link between money and war  Yet when a final confrontation approaches, she must acknowledge the potential cost to her futureand the risk of destroying a dream she wants very much to become reality ",mystery
The Ritual Bath,"Detective Peter Decker of the LAPD is stunned when he gets the report  Someone has shattered the sanctuary of a remote yeshiva community in the California hills with an unimaginable crime  One of the women was brutally raped as she returned from the mikvah, the bathhouse where the cleansing ritual is performed The crime was called in by Rina Lazarus, and Decker is relieved to discover that she is a calm and intelligent witness  She is also the only one in the sheltered community willing to speak of this unspeakable violation  As Rina tries to steer Decker through the maze of religious laws, the two grow closer  But before they get to the bottom of the horrendous crime, revelations come to light that are so shocking that they threaten to come between the hard-nosed cop and the deeply religious woman with whom he has become irrevocably linked ",mystery
Stormbreaker,"They told him his uncle died in an accident  He wasn't wearing his seatbelt, they said  But when fourteen-year-old Alex finds his uncle's windshield riddled with bullet holes, he knows it was no accident  What he doesn't know yet is that his uncle was killed while on a top-secret mission  But he is about to, and once he does, there is no turning back  Finding himself in the middle of terrorists, Alex must outsmart the people who want him dead  The government has given him the technology, but only he can provide the courage  Should he fail, every child in England will be murdered in cold blood ",mystery
All Shall Be Well,"Perhaps it is a blessing when Jasmine Dent dies in her sleep  At last an end has come to the suffering of a body horribly ravaged by disease  It may well have been suicide; she had certainly expressed her willingness to speed the inevitable  But small inconsistencies lead her neighbor, Superintendent Duncan Kincaid, to a startling conclusion: Dent was murdered  But if not for mercy, why would someone destroy a life already doomed? As Kincaid and his appealing assistant Sergeant Gemma James sift through the dead woman's strange history, a troubling puzzle emerges: a bizarre amalgam of charity and crime--and of the blinding passions that can drive the human animal to perform cruel and inhuman acts ",mystery
Black-Eyed Susans,"For fans of Laura Lippman and Gillian Flynn comes an electrifying novel of stunning psychological suspense I am the star of screaming headlines and campfire ghost stories The lucky one   As a sixteen-year-old, Tessa Cartwright was found in a Texas field, barely alive amid a scattering of bones, with only fragments of memory as to how she got there  Ever since, the press has pursued her as the lone surviving Black-Eyed Susan, the nickname given to the murder victims because of the yellow carpet of wildflowers that flourished above their shared grave  Tessas testimony about those tragic hours put a man on death row   Now, almost two decades later, Tessa is an artist and single mother  Terrified at the implicationsthat she sent the wrong man to prison and the real killer remains at largeTessa turns to the lawyers working to exonerate the man awaiting execution  But the flowers alone are not proof enough, and the forensic investigation of the still-unidentified bones is progressing too slowly  An innocent life hangs in the balance  The legal team appeals to Tessa to undergo hypnosis to retrieve lost memoriesand to share the drawings she produced as part of an experimental therapy shortly after her rescue   What they dont know is that Tessa and the scared, fragile girl she was have built a fortress of secrets  As the clock ticks toward the execution, Tessa fears for her sanity, but even more for the safety of her teenaged daughter  Is a serial killer still roaming free, taunting Tessa with a trail of clues? She has no choice but to confront old ghosts and lingering nightmares to finally discover what really happened that night ",mystery
Two Kinds of Truth,"Harry Bosch is back as a volunteer working cold cases for the San Fernando Police Department and is called out to a local drug store where a young pharmacist has been murdered  Bosch and the town's 3-person detective squad sift through the clues, which lead into the dangerous, big business world of pill mills and prescription drug abuse Meanwhile, an old case from Bosch's LAPD days comes back to haunt him when a long-imprisoned killer claims Harry framed him, and seems to have new evidence to prove it  Bosch left the LAPD on bad terms, so his former colleagues aren't keen to protect his reputation  He must fend for himself in clearing his name and keeping a clever killer in prison The two unrelated cases wind around each other like strands of barbed wire ",mystery
The Book of the Dead,"An FBI agent, rotting away in a high-security prison for a murder he did not commit   His brilliant psychotic brother, about to perpetrate a horrific crime   A young woman with an extraordinary past, on the edge of a violent breakdown   An ancient tomb with an enigmatic curse, about to be unveiled at a celebrity-studded New York gala   The New York Museum of Natural History receives their pilfered gem collection back   ground down to dust  Diogenes, the psychotic killer who stole them in Dance of Death, is throwing down the gauntlet to both the city and to his brother, FBI Agent Pendergast, who is currently incarcerated in a maximum security prison To quell the PR nightmare of the gem fiasco, the museum decides to reopen the Tomb of Senef  An astounding Egyptian temple, it was a popular museum exhibit until the 1930s, when it was quietly closed  But when the tomb is unsealed in preparation for its gala reopening, the killings--and whispers of an ancient curse--begin again  And the catastrophic opening itself sets the stage for the final battle between the two brothers: an epic clash from which only one will emerge alive ",mystery
"Thrones, Dominations","The wife of a wealthy man is found dead, and it is up to Lord Peter Wimsey and his wife, Harriet, to solve the case ",mystery
Malice at the Palace,"Lady Georgiana Rannoch wont deny that being thirty-fifth in line for the British throne has its advantages  Unfortunately, money isnt one of them  And sometimes making ends meet requires her to investigate a little royal wrongdoing ""While my beau Darcy is off on a mysterious mission, I am once again caught between my high birth and empty purse  I am therefore relieved to receive a new assignment from the Queenespecially one that includes lodging  The Kings youngest son, George, is to wed Princess Marina of Greece, and I shall be her companion at the supposedly haunted Kensington Palace My duties are simple: help Marina acclimate to English life, show her the best of London and, above all, dispel any rumors about Georges libertine history  Perhaps that last bit isnt so simple George is known for his many affairs with women as well as menincluding the great songwriter Noel Coward  But things truly get complicated when I search the Palace for a supposed ghost only to encounter an actual dead person: a society beauty said to have been one of Prince Georges mistresses Nothing spoils a royal wedding more than murder, and the Queen wants the whole matter hushed  But as the investigation unfoldsand Darcy, as always, turns up in the most unlikely of placesthe investigation brings us precariously close to the prince himself """,mystery
Dark Sacred Night,"Rene Ballard is working the night beat again, and returns to Hollywood Station in the early hours only to find a stranger rifling through old file cabinets  The intruder is retired detective Harry Bosch, working a cold case that has gotten under his skin  Ballard kicks him out, but then checks into the case herself and it brings a deep tug of empathy and anger Bosch is investigating the death of fifteen-year-old Daisy Clayton, a runaway on the streets of Hollywood who was brutally murdered and her body left in a dumpster like so much trash  Now, Ballard joins forces with Bosch to find out what happened to Daisy and finally bring her killer to justice ",mystery
People Like Us,"Kay Donovan may have skeletons in her closet, but the past is past, and she's reinvented herself entirely  Now she's a star soccer player whose group of gorgeous friends run their private school with effortless popularity and acerbic wit  But when a girl's body is found in the lake, Kay's carefully constructed life begins to topple  The dead girl has left Kay a computer-coded scavenger hunt, which, as it unravels, begins to implicate suspect after suspect, until Kay herself is in the crosshairs of a murder investigation  But if Kay's finally backed into a corner, she'll do what it takes to survive  Because at Bates Academy, the truth is something you make   not something that happened ",mystery
Dark of the Moon,"Virgil Flowers  tall, lean, late thirties, three times divorced, hair way too long for a cop's  had kicked around a while before joining the Minnesota Bureau of Criminal Apprehension  First it was the army and the military police, then the police in St  Paul, and finally Lucas Davenport had brought him into the BCA, promising him, ""We'll only give you the hard stuff ""He'd been doing the hard stuff for three years now  but never anything like this In the small town of Bluestem, where everybody knows everybody, a house way up on a ridge explodes into flames, its owner, a man named Judd, trapped inside  There is a lot of reason to hate him, Flowers discovers  Years ago, Judd had perpetrated a scam that'd driven a lot of local farmers out of business, even to suicide  There are also rumors swirling around: of some very dicey activities with other men's wives; of involvement with some nutcase religious guy; of an out-of-wedlock daughter  In fact, Flowers concludes, you'd probably have to dig around to find a person who didn't despise him And that wasn't even the reason Flowers had come to Bluestem  Three weeks before, there'd been another murder  two, in fact  a doctor and his wife, the doctor found propped up in his backyard, both eyes shot out  There hadn't been a murder in Bluestem in years  and now, suddenly, three? Flowers knows two things: This wasn't a coincidence, and this had to be personal But just how personal is something even he doesn't realize, and may not find out until too late  Because the next victim    may be himself ",mystery
"Darkness, Take My Hand","Pat Kenzie riceve da una nota psichiatra l'incarico di proteggere il figlio perseguitato da minacce e messaggi anonimi  Sembra un caso di facile soluzione   l'inizio di un incubo  Una serie di terrificanti omicidi, apparentemente senza legame, lo riporta di prepotenza nel passato, agli anni dell'adolescenza, vissuti nel quartiere degradato di Dorchester a Boston  Le vittime, su cui l'assassino ha infierito orribilmente, crocifiggendole e mutilandole, sono tutte persone che Pat Kenzie ha conosciuto  Nel corso di una frenetica caccia all'uomo, condotta anche con l'aiuto di Angie Gennaro e del fedele Bubba Rogowski, Pat si rende conto che il prossimo bersaglio potrebbe essere lui   ",mystery
The Dark Wind,"A corpse whose palms and soles have been ""scalped"" is only the first in a series of disturbing clues: an airplane's mysterious crash in the nighttime desert, a bizarre attack on a windmill, a vanishing shipment of cocaine  Sgt  Jim Chee of the Navajo Tribal Police is trapped in the deadly web of a cunningly spun plot driven by Navajo sorcery and white man's greed ",mystery
The Invention of Hugo Cabret,"Orphan, clock keeper, and thief, Hugo lives in the walls of a busy Paris train station, where his survival depends on secrets and anonymity  But when his world suddenly interlocks with an eccentric, bookish girl and a bitter old man who runs a toy booth in the station, Hugo's undercover life, and his most precious secret, are put in jeopardy  A cryptic drawing, a treasured notebook, a stolen key, a mechanical man, and a hidden message from Hugo's dead father form the backbone of this intricate, tender, and spellbinding mystery ",fantasy
People of Darkness,"Who would murder a dying man? Why would someone steal a box of rocks? And why would a rich man's wife pay $3,000 to get them back? These questions haunt Sgt  Jim Chee of the Navajo Tribal Police as he journeys into the scorching Southwest  But there, out in the Bad Country, a lone assassin waits for Chee to come seeking answers, waits ready and willing to protect a vision of death that for thirty years has been fed by greed and washed in blood ",mystery
Omens,"Twenty-four-year-old Olivia Taylor Jones has the perfect life  The only daughter of a wealthy, prominent Chicago family, she has an Ivy League education, pursues volunteerism and philanthropy, and is engaged to a handsome young tech firm CEO with political ambitions But Olivias world is shattered when she learns that shes adopted  Her real parents? Todd and Pamela Larsen, notorious serial killers serving a life sentence  When the news brings a maelstrom of unwanted publicity to her adopted family and fianc, Olivia decides to find out the truth about the Larsens Olivia ends up in the small town of Cainsville, Illinois, an old and cloistered community that takes a particular interest in both Olivia and her efforts to uncover her birth parents past Aided by her mothers former lawyer, Gabriel Walsh, Olivia focuses on the Larsens last crime, the one her birth mother swears will prove their innocence  But as she and Gabriel start investigating the case, Olivia finds herself drawing on abilities that have remained hidden since her childhood, gifts that make her both a valuable addition to Cainsville and deeply vulnerable to unknown enemies  Because there are darker secrets behind her new home and powers lurking in the shadows that have their own plans for her ",fantasy
Death of an Outsider,"Dreary Cnothan's most hated man is dumped into a tank filled with lobsters then eaten in Britain's best restaurants  Exiled there with his dog Towser, Hamish Macbeth misses his beloved Highland village Lochdubh, Priscilla, and easy lazy days  His superiors want the business hushed up, a dark-haired lass wants his body, and a killer is out for more blood  On TV show ",mystery
The Cat Who Lived High," He's determined to restore the building to its original grandeur  So he moves in with Koko and Yum Yum--and discovers that the Casablanca is steeped in history   and mystery  In Qwill's very apartment, a glamorous art dealer met an untimely fate, and the veteran journalist and his crime-solving cats are about to reach new heights in detection as the evidence builds up   and the Casablanca threatens to crumble down around them!",mystery
Sycamore Row,"Seth Hubbard is a wealthy man dying of lung cancer  He trusts no one  Before he hangs himself from a sycamore tree, Hubbard leaves a new, handwritten, will  It is an act that drags his adult children, his black maid, and Jake into a conflict as riveting and dramatic as the murder trial that made Brigance one of Ford County's most notorious citizens, just three years earlier   The second will raises far more questions than it answers",mystery
The Cat Who Wasn't There,"an alternate cover edition can be found hereQwill's on his way to Scotland - and on his way to solving another purr-plexing mystery  But this time Koko's nowhere the scene of the crime  He and Yum Yum are back in Pickax being coddled by a catsitter   but Koko won't sit still once Qwill's traveling party returns--minus one member  He's behaving oddly, and Qwill knows what that means: Koko may have been miles away from the murder scene, but he's just a whisker away from cracking the case!",mystery
Poirot's Early Cases: 18 Hercule Poirot Mysteries,"The unabridged tales in this Mystery Masters audiobook include all the ones in the print book first published in 1974  With each case, Poirot further proves his reputation as the greatest mind in detective fiction  In ""The Plymouth Express,"" the body of the daughter of a wealthy American industrialist is found stuffed under a train seat  ""Problem at Sea"" finds a disliked rich woman murdered in a locked room on a ship  ""The King of Clubs"" involves a prince, his dancer fiance, and a fiendish bit of blackmail  These gems are alternately read by David Suchet and Hugh Fraser, whose roles as, respectively, Poirot and his sidekick, Captain Hugh Hastings, in PBS's Mystery! series and the Arts and Entertainment's Poirot series are considered definitive This collection contains the following stories: ""The Adventure of Johnnie Waverly,"" ""The Adventure of the Clapham Cook,"" ""The Affair of the Victory Ball,"" ""The Chocolate Box,"" ""The Cornish Mystery,"" ""The Double Clue,""  ""Double Sin,"" ""How Does Your Garden Grow?,"" ""The King of Clubs,""  ""The Lemesurier Inheritance,"" ""Lost Mine,"" ""Market Basing Mystery,"" ""The Plymouth Express,""  ""Problem at Sea,"" ""The Submarine Plans,"" ""The Third-Floor Flat,"" ""The Veiled Lady,"" and ""Wasps' Nest """,mystery
Bones of  the Lost,"When Charlotte police discover the body of a teenage girl along a desolate stretch of two-lane highway, Temperance Brennan fears the worst  The girls body shows signs of foul play  Inside her purse, police find an airline club card bearing the name of prominent local businessman John-Henry Story, who died in a horrific fire months earlier  How did Story and the girl know each other? Was she an illegal immigrant turning tricks? Was she murdered? Was he?Tempe must also examine a bundle of Peruvian dog mummies confiscated by U S  Customs  A Desert Storm veteran named Dominick Rockett stands accused of smuggling the objects into the country  Could there be some connection between the trafficking of antiquities and the trafficking of humans?As the complications pile on, Tempe must also grapple with personal turmoil  Her daughter, Katy, grieving the death of her boyfriend in Afghanistan, impulsively enlists in the army  Meanwhile, Katys father, Pete, is growing frustrated by Tempes reluctance to finalize their divorce  As pressure mounts from all corners, Tempe soon finds herself at the center of a conspiracy that extends all the way from South America to Afghanistan and right to the center of Charlotte ",mystery
S.,"One book  Two readers  M   S , conceived by filmmaker J  J ",mystery
The Boxcar Children,"The Aldens begin their adventure by making a home in a boxcar  Their goal is to stay together, and in the process they find a grandfather ",mystery
This Is Our Story,"Five went in  Four came out No one knows what happened that morning at River Point  Five boys went hunting  Four came back  The boys wont say who fired the shot that killed their friend; the evidence shows it could have been any one of them  Kate Marinos senior year internship at the district attorneys office isnt exactly glamorousmore like an excuse to leave school early that looks good on college applications  Then the DA hands her boss, Mr  Stone, the biggest case her small town of Belle Terre has ever seen  The River Point Boys are all anyone can talk about  Despite their damning toxicology reports the morning of the accident, the DA wants the boys case swept under the rug  He owes his political office to their powerful families Kate wont let that happen  Digging up secrets without revealing her own is a dangerous line to walk; Kate has her own reasons for seeking justice for Grant  As she investigates with Stone, the aging prosecutor relying on Kate to see and hear what he cannot, she realizes that nothing about the caseor the boysis what it seems  Grant wasnt who she thought he was, and neither is Stones prime suspect  As Kate gets dangerously close to the truth, it becomes clear that the early morning accident might not have been an accident at alland if Kate doesnt uncover the true killer, more than one life could be on the lineincluding her own ",mystery
Escaping from Houdini,"Audrey Rose Wadsworth and her partner-in-crime-investigation, Thomas Cresswell, are en route to New York to help solve another blood-soaked mystery  Embarking on a week-long voyage across the Atlantic on the opulent RMS Etruria, theyre delighted to discover a traveling troupe of circus performers, fortune tellers, and a certain charismatic young escape artist entertaining the first-class passengers nightly But then, privileged young women begin to go missing without explanation, and a series of brutal slayings shocks the entire ship  The disturbing influence of the Moonlight Carnival pervades the decks as the murders grow ever more freakish, with nowhere to escape except the unforgiving sea It's up to Audrey Rose and Thomas to piece together the gruesome investigation as even more passengers die before reaching their destination  But with clues to the next victim pointing to someone she loves, can Audrey Rose unravel the mystery before the killer's horrifying finale?",mystery
