title,author,description,genre
On Tall Pine Lake,Dorothy Garlock,"""A young woman in 1970s Arkansas is charmed by the owner of a fishing camp, but is wary of his potential connections to several local crimes.""--Provided by the publisher.",romance
Saint Odd,Dean Koontz,"""From ""one of the master storytellers of this or any age"" (The Tampa Tribune) comes the stunning final adventure of ""one of the most remarkable and appealing characters in current fiction""(The Virginian-Pilot)--as #1 New York Times bestselling author Dean Koontz brings the unforgettable odyssey of Odd Thomas to its dazzling conclusion. Odd Thomas is back where it all started. because the time has come to finish it. Since he left his simple life in the small town of Pico Mundo, California, his journey has taken him to places strange and wonderful, mysterious and terrifying. Across the land, in the company of mortals and spirits alike, he has known kindness and cruelty, felt love and loss, saved lives and taken them--as he's borne witness to humanity's greatest good and darkest evil. Again and again, he has gone where he must and done what he had to do--for better or worse--with his courage and devotion sorely tested, and his soul forever changed. Every triumph has been hard won. Each sacrifice has taken its toll. Now, whatever destiny drives him has finally steered his steps home, where those he cares for most surround him, the memory of his tragically lost true love haunts him, and one last challenge--vast and dreadful--awaits him. For Odd Thomas, born to serve a purpose far greater than himself, the wandering is done. Only the reckoning remains. Acclaim for Dean Koontz and his Odd Thomas novels ""Odd's strange gifts, coupled with his intelligence and self-effacing humor, make him one of the most quietly authoritative characters in recent popular fiction.""--Publishers Weekly ""Koontz gives his character wit, good humor, a familiarity with the dark side of humanity--and moral outrage.""--USA Today ""The ultimate Everyman. an avatar of hope and honor and courage for all of us--the linchpin of a rollicking good tale. Odd evokes the homespun wisdom of Forrest Gump amid the mind-spinning adventures of a Jack Bauer.""--BookPage ""There's never anything predictable about an Odd Thomas adventure.""--Booklist ""The nice young fry cook with the occult powers is [Koontz's] most likable creation. candid, upright, amusing and sometimes withering.""--The New York Times ""An inventive. mix of suspense, whimsy and uplift.""--The Washington Post ""Heartfelt and provocative. a wonderfully rich and entertaining story.""--Chicago Sun-Times""--

""Two years after the cataclysmic events that sent him journeying into mystery, Odd Thomas, the intrepid fry cook who sees the dead and tries to help them, has traveled full circle, back to his beloved home town of Pico Mundo and the people he loves. He has come to save them--and perhaps humanity--from the full flowering of evil it is his destiny to confront, as he draws ever closer to the truth of the world and his place in it. Stronger, wiser than he started, and with the help of the friends he has made along the way, Odd prepares to confront the terrible forces arrayed against him and possibly to journey still farther, to his long-awaited reunion with his lost love, Stormy Llewellyn""--",romance
Can You Keep A Secret?,Sophie Kinsella,"With the same wicked humor, buoyant charm, and optimism that have made her Shopaholic novels beloved international bestsellers, Sophie Kinsella delivers a hilarious new novel and an unforgettable new character. Meet Emma Corrigan, a young woman with a huge heart, an irrepressible spirit, and a few little secrets:

Secrets from her mother:
I lost my virginity in the spare bedroom with Danny Nussbaum while Mum and Dad were downstairs watching Ben-Hur.
Sammy the goldfish in my parents’ kitchen is not the same goldfish that Mum gave me to look after when she and Dad were in Egypt.

Secrets from her boyfriend:
I weigh one hundred and twenty-eight pounds. Not one eighteen, like Connor thinks.
I’ve always thought Connor looks a bit like Ken. As in Barbie and Ken.

From her colleagues:
When Artemis really annoys me, I feed her plant orange juice. (Which is pretty much every day.) It was me who jammed the copier that time. In fact, all the times.

Secrets she wouldn’t share with anyone in the world:
My G-string is hurting me.
I have no idea what NATO stands for. Or even what it is.

Until she spills them all to a handsome stranger on a plane. At least, she thought he was a stranger.

But come Monday morning, Emma’s office is abuzz about the arrival of Jack Harper, the company’s elusive CEO. Suddenly Emma is face-to-face with the stranger from 
the plane, a man who knows every single humiliating detail about her. Things couldn’t possibly get worse—Until they do.",romance
The choice,Nicholas Sparks,"Resisting romantic commitments while enjoying a life of boating, swimming, and barbecues, Travis Parker is unable to deny his attraction to new neighbor Gabby Holland, a defensive woman whose long-time boyfriend further challenges Travis' growing feelings.",romance
Shopaholic and Sister (Shopaholic #4),Sophie Kinsella,"Returning to London after her ten-month honeymoon, Becky Bloomwood Brandon finds herself depressed by a lack of money, a search for a job, and her best friend Suze's new best friend, until she discovers that she has a long lost sister.",romance
LOVING EVANGELINE,Linda Howard,"Evangeline Shaw is the key to the conspiracy that threatens Robert Cannon's company. Classified software developed by Cannon's group is being sold to a foreign government without his approval. It isn't just theft or a case of corporate espionage -- it's treason. And the trail leads straight to Shaw -- who by all accounts has both the means and the motives.
Determined to handle his own investigation, Cannon tracks her to a small town in Alabama. But as he tries to untangle the knot that surrounds her, he finds himself questioning he's believed. The facts still seem pretty black-and-but his heart tells him she's no Mata Hari....",romance
The Sands of Time,Sidney Sheldon,Four nuns forced to flee their Spanish convent find themselves pawns in a violent struggle between the outlawed Basque movement and the Spanish army.,romance
Ceremony of the Innocent,Taylor Caldwell,"From the foreword:
''While this book is not my autobiography, and Ellen Porter's background is not mine, nor her appearance - and I was born many years later than she was born - her thoughts have been my thoughts and her experiences mine also. I have encountered many of the people in the book and have endured from them what Ellen Porter had endured, though they are a composite picture here and so cannot be identified. Many of them, too, are now dead.

So in many ways though this is a bitter book it is a true one. There is an old saying, ""Only a man can hurt himself. But only a man can hurt a woman."" TAYLOR CALDWELL",romance
The Betsy,Harold robbins,"From the author of The New York Times #1 best-selling novel The Carpetbaggers comes a revealing saga that exposes the shocking, merciless world of the American automobile industry. Angelo Perino lives life on the bleeding edge of speed and success a race car driver of humble origins who dominates on and off the track. Loren Hardeman is the ruthless patriarch of an auto empire, fighting to keep his family from self-destructing under the weight of its own greed and decadence.

The two men, bound by their passionate vision as well as their charismatic power over women, come together to create the world's fastest, most advanced automobile, ""The Betsy"" named after Hardeman's great-granddaughter, who has captured Perino's heart. Their creation threatens to disrupt the industry, whose power brokers are determined to prevent it no matter the cost. This pits Hardeman's own grandson, the company's current CEO, against him, revealing the depths to which Hardeman went to build his empire including murder, incestuous adultery and organized crime. As the family feud escalates, Perino makes his move to conquer Hardeman's empire as well as his great-granddaughter.

When it was published, ''The Betsy'' spent 21 weeks on The New York Times best sellers list and inspired a film of the same name starring Laurence Olivier, Tommy Lee Jones, Robert Duvall and Katharine Ross.
This novel from master storyteller Harold Robbins pulls back the curtain on the glittering world of fame, fortune, and passion at the height of the auto industry, giving a look into the world that is now shown to be full of scandal and product recalls.--LibraryThing",romance
Lorena,Frank G. Slaughter,''A novel of one woman who helped convince Sherman that war was hell''--fr.cvr.,romance
Vampire kisses 5,Ellen Schreiber,"When goth-girl Raven follows her vampire boyfriend to Hipsterville, she discovers a dangerous secret club inhabited by vampires who are feuding over its leadership.",romance
How we learn,Benedict Carey,"From an early age, we are told that restlessness, distraction, and ignorance are the enemies of success. Learning is all self-discipline, so we must confine ourselves to designated study areas, turn off the music, and maintain a strict ritual. But what if almost everything we were told about learning is wrong? And what if there was a way to achieve more with less effort? Here, award-winning science reporter Benedict Carey sifts through decades of education research to uncover the truth about how our brains absorb and retain information. What he discovers is that, from the moment we are born, we all learn quickly, efficiently, and automatically; but in our zeal to systematize the process we have ignored valuable, naturally enjoyable learning tools like forgetting, sleeping, and daydreaming. Is a dedicated desk in a quiet room really the best way to study? Can altering your routine improve your recall? Are there times when distraction is good? Is repetition necessary? Carey's search for answers to these questions yields a wealth of strategies that make learning more a part of our everyday lives--and less of a chore.--From publisher description.",romance
"Dear Bill, remember me?",Norma Fox Mazer,Stories about eight young women who have grit and humor in dealing with their problems.,romance
A week from Sunday,Dorothy Garlock,"""Set in 1930s Louisiana, a young woman makes a new life for herself after she runs away from home""--Provided by publisher.",romance
We Hate Everything But Boys,Linda Lewis,"Tiffany / Reviewed in Canada on June 18, 2001 / 5 of 5 stars ''We hate Everything but Boys''
This is one of my favorite books. This was the first Linda book that i read, even though it is the third book in the series. It has remained my favorite one. In this book, Linda and her two best-friends, Suzy and Darlene form at club called We Hate Everything but Boys. But, their club is ruined when the boys that they like find out about their club. And Suzy and Darlene blame Linda. Can Linda win back her best-friends? 

Sharon Thomas / Reviewed in the United States, Jan 30, 2001 / 5 of 5 stars The Best Book to grow up with as a preteen: I love this book i read it when i was in the 6th grade...I am normally not the type to be reading...but I started reading this book and I enjoyed it so much when I was done... now I'm in 10th grade and till this day I wont ever forget it....It's like the exact life a 13 year old would experience....I would recommend this book to every teenage girl that has guys as one of their interests like I do!! 

Julianne / Reviewed in the United States, January 27, 2000 / 5 of 5 stars / ''Passed Around the Playground""
I remember reading this book when I was 11 years old, and in the fifth grade (back in 1985), and it was definitely a 'rite of passage' for myself, as well as every girlfriend of mine! I never forgot about this book -- it left a permanent, but positive, mark. A definite read for pre-teens.",romance
The dead room,Heather Graham,"A year ago, archaeologist Leslie MacIntyre barely survived the explosion that took the life of her fiancé, Matt Connolly. In the long months since, she's slowly come to terms not only with her loss but with her unsettling new ability to communicate with ghosts, a dubious 'gift' received in the wake of her own brush with death. Now she's returned to Manhattan's historic Hastings House, site of the explosion, to conquer her fears and investigate a newly discovered burial ground. In this place restless spirits hold the secrets not only of past injustice but of a very real contemporary conspiracy with deadly designs on the city's women--including Leslie herself. As she is drawn closer to the darkness at the heart of Hastings House, she must ultimately face the power of an evil mind, alone in a place where not even the men she loves can save her.--From publisher description.",romance
The vision,Heather Graham,"When Deep Down Salvage begins the hunt for the Josephine Marie, it seems like any other dive--until Genevieve Wallace sees the vision of a dead woman in the water, her vacant eyes boring into Genevieve's very soul. When a dead woman washes up on shore, everyone assumes this is Genevieve's ""vision,"" but Genevieve knows the truth: the dead woman is not the ghost she saw but another victim of the same brutal killer.--From publisher description.",romance
The brass dolphin,Caroline Harvey,"On the island of Malta during World War II, British nurse Lila Cunningham awaits the return of her love, a British soldier of noble birth. But will he marry a woman below his rank? Meanwhile, a native Maltese teacher pines for her.",romance
Another thing to fall,Laura Lippman,"When the production of a Hollywood film in Baltimore brings mayhem and murder to the area, private investigator Tess Monaghan finds her job complicated by the acting skills of her numerous suspects.",romance
Vampire kisses 2,Ellen Schreiber,"Sixteen-year-old Raven, a vampire-obsessed goth girl, searches for her true love, Alexander, who she has learned is a real vampire.",romance
Cowboy trouble,Joanne Kennedy,"Libby Brown finds the help of her cowboy neighbor Luke Rawlins invaluable as she tries to make the transition from big city journalist to chicken farmer, but when the pair gets embroiled in a local crime they find their growing attraction proves only to complicate their lives.",romance
One Intimate Night,Penny Jordan,"Working together...and sleeping together?

Piers's relationship with Georgia was strictly business -- pure and simple. This should have made their living under the same roof a relatively straightforward affair.

But, somehow, Piers couldn't stop her from stealing into his thoughts. He wasn't a man to act on impulse. He had managed to resist her -- so far! And then one intimate night, business became steamy pleasure....",romance
Practice makes perfect,Julie James,"""Payton Kendall and J.D. Jameson are lawyers who know the meaning of objection. A feminist to the bone, Payton has fought hard to succeed in a profession dominated by men. Born wealthy, privileged, and cocky, J.D.  has fought hard to ignore her. Face-to-face, they are perfectly civil. They have to be. For eight years they have kept a safe distance and tolerated each other as coworkers for one reason only: to make partner at the firm. But all bets are off when they're asked to join forces on a major case...""--p.[4] of cover.",romance
GARDEN OF SCANDAL,Jennifer Blake,"Laurel Bancroft has lived for years like a recluse, isolating herself from a town that has branded her a murderer. But now, convinced people have finally forgotten, she is ready to resume her life. 

Then Laurel meets Alec Stanton. Hired to help her redesign her garden. Alec is a stranger with a mysterious past. Though more than ten years younger, Alec is exactly what Laurel needs: intelligent, talented, passionate. 

But as their relationship grow, so does a dangerous threat against them. Someone wants Laurel to return to her seclusion and give up her younger lover--someone who hasn't forgotten that night so many years ago.",romance
Challenge to honor,Jennifer Blake,"Celina's brother challenges New Orleans's most infamous swordsman to a duel. In order to save her brother from certain death Celina confronts his opponent, Rio de Silva. He agrees to spare her brother, but his price is Celina's innocence.",romance
Warrior angel,Margaret Weis,"A former Knight Templar who had been betrayed and killed, Derek de Molay has spent eternity battling the Dark Angels of Hell, until he is sent back to the mortal realm to protect Rachel Duncan from the darkness that surrounds her and to save the mortal souls of all humankind.",romance
The courtship dance,Candace Camp,"An expert matchmaker, but unable to find her own husband, Lady Francesca Haughston decides to help the Duke of Rochford, who broke her heart years earlier, find the perfect wife, which leads to a temptation that could result in scandal.",romance
Twisted,Andrea Kane,"Former FBI Special Agent Sloane Burbank survived a life-threatening injury sustained in the line of duty, only to face leaving a job she loves in order to recuperate. As an independent consultant, she now uses her specialized skills to train law enforcement and private organizations in crisis resolution. But when one of her closest childhood friends mysteriously disappears, and the woman's parents beg for her help, Sloane takes the case--even though her ex-lover Derek Parker is the FBI agent in charge.",romance
The rogue hunter,Lynsay Sands,"On a well-deserved vacation from her fast-track job as a lawyer, Samantha Willan is looking forward to hanging out with her sisters at their family's cottage. Rogue Hunter Garrett Mortimer has been sent by the Council to search for an errant vampire who has been biting mortals. When the two cross paths in the middle of nowhere, romance intrudes on Sam's R&R and Garrett's mission.",romance
The company we keep,Mary Monroe,"""Gorgeous, successful executive Teri Stewart spends her days working for L.A.'s hottest record company--and her nights all alone. Her best friend Nicole is determined to find Teri a man, but she hasn't had much luck-- because Teri wants more than Mr. Maybe. She's holding out for Mr. Right and won't settle for anything less. Just when Teri is ready to give up, a man from her past returns to reignite their romance. With his sultry smile and easy-going charm, radio DJ Harrison Starr is one-of-a kind--and Teri can't deny she's fallen hard for him again. With her life finally falling into place, Teri thinks her dreams might come true after all. But Harrison may have a secret that could change everything--""--P. [4] of cover.",romance
Taken by the night,Kathryn Smith,"An enigmatic, sexy, six-hundred-year-old vampire risks everything to protect the woman he loves when the irresistible Ivy Dearing, the daughter of the infamous Madame of the notorious London brothel, Maison Rouge, enlists his aid to help her find the evil killer responsible for the deaths of two of her friends.",romance
To seduce a bride,Nicole Jordan,"Determined to resist the seductive attention of the Marquess of Claybourne, Lilian Loring decides to hide from her suitor in a house of scandalous repute, where she spends her time instructing the demimonde in the art of deportment and manners.",romance
The séance,Heather Graham,"A Oujia board summons the spirit of detective Beau Kidd who wants to clear his name in the ""Interstate-Killer"" murders. Christina Hardy must convince Jett Braden, a cop-turned-writer, that she holds the key to catching the real killer.",romance
Deadly harvest,Heather Graham,"While in Salem, Massachusetts, looking for his friend's wife, who mysteriously vanished, cop Jeremy Flynn is drawn into a murder investigation involving the infamous Harvest Man and teams up with a local occult expert who disagrees with his methods.",romance
Deadly gift,Heather Graham,"After arriving in America as an Irish nurse, banshee Caer Donahue yearns for a mortal life when she is submerged in a mystery of sunken treasure and attempted murder, which leads her into the loving arms of Zach Flynn.",romance
Raintree,Linda Howard,"Two hundred years after defeating the Ansara wizards, the Raintree clan, who have blended into the modern world as bankers, cops, husbands, wives, and lovers, find their loyalties and relationships tested when their enemy rises again.",romance
Raintree,Linda Howard,"Two hundred years after defeating the Ansara wizards, the Raintree clan, who have blended into the modern world as bankers, cops, husbands, wives, and lovers, find their loyalties and relationships tested when their enemy rises again.",romance
One Intimate Night,Penny Jordan,"Working together...and sleeping together?

Piers's relationship with Georgia was strictly business -- pure and simple. This should have made their living under the same roof a relatively straightforward affair.

But, somehow, Piers couldn't stop her from stealing into his thoughts. He wasn't a man to act on impulse. He had managed to resist her -- so far! And then one intimate night, business became steamy pleasure....",romance
The séance,Heather Graham,"A Oujia board summons the spirit of detective Beau Kidd who wants to clear his name in the ""Interstate-Killer"" murders. Christina Hardy must convince Jett Braden, a cop-turned-writer, that she holds the key to catching the real killer.",romance
Taken by the night,Kathryn Smith,"An enigmatic, sexy, six-hundred-year-old vampire risks everything to protect the woman he loves when the irresistible Ivy Dearing, the daughter of the infamous Madame of the notorious London brothel, Maison Rouge, enlists his aid to help her find the evil killer responsible for the deaths of two of her friends.",romance
The courtship dance,Candace Camp,"An expert matchmaker, but unable to find her own husband, Lady Francesca Haughston decides to help the Duke of Rochford, who broke her heart years earlier, find the perfect wife, which leads to a temptation that could result in scandal.",romance
Practice makes perfect,Julie James,"""Payton Kendall and J.D. Jameson are lawyers who know the meaning of objection. A feminist to the bone, Payton has fought hard to succeed in a profession dominated by men. Born wealthy, privileged, and cocky, J.D.  has fought hard to ignore her. Face-to-face, they are perfectly civil. They have to be. For eight years they have kept a safe distance and tolerated each other as coworkers for one reason only: to make partner at the firm. But all bets are off when they're asked to join forces on a major case...""--p.[4] of cover.",romance
Challenge to honor,Jennifer Blake,"Celina's brother challenges New Orleans's most infamous swordsman to a duel. In order to save her brother from certain death Celina confronts his opponent, Rio de Silva. He agrees to spare her brother, but his price is Celina's innocence.",romance
The company we keep,Mary Monroe,"""Gorgeous, successful executive Teri Stewart spends her days working for L.A.'s hottest record company--and her nights all alone. Her best friend Nicole is determined to find Teri a man, but she hasn't had much luck-- because Teri wants more than Mr. Maybe. She's holding out for Mr. Right and won't settle for anything less. Just when Teri is ready to give up, a man from her past returns to reignite their romance. With his sultry smile and easy-going charm, radio DJ Harrison Starr is one-of-a kind--and Teri can't deny she's fallen hard for him again. With her life finally falling into place, Teri thinks her dreams might come true after all. But Harrison may have a secret that could change everything--""--P. [4] of cover.",romance
To seduce a bride,Nicole Jordan,"Determined to resist the seductive attention of the Marquess of Claybourne, Lilian Loring decides to hide from her suitor in a house of scandalous repute, where she spends her time instructing the demimonde in the art of deportment and manners.",romance
"Templar knight, forbidden bride",Lynna Banning,"A hardened, battle-weary warrior, Reynaud has forgotten what it is to be in the company of a beautiful woman, to delight in her comfort and warmth. On his return to Granada, he is drawn to Leonor and senses that she could heal his hidden scars. She is set upon a dangerous path, a path that they travel together, becoming closer every day - every night. But such forbidden passion may be their undoing.",romance
My wicked marquess,Gaelen Foley,"""To restore family honor the Marquess of Rotherstone faces his most dangerous mission--finding the perfect bride. To London's aristocracy, the Inferno Club is a scandalous society of men no proper young lady would acknowledge. But though they are publicly notorious for pursuing all manner of debauchery, in private they are warriors who would do anything to protect king and country. The Marquess of Rotherstone has decided it's time to restore the family's good name. But as a member of the Inferno Club, he knows there is only one way to redeem himself in Society's eyes: marry a lady of impeccable beauty and breeding, whose reputation is, above all, spotless. Someone quite unlike Daphne Starling. True, she's temptingly lovely, but a jilted suitor has nearly ruined her reputation. Still, Max cannot resist her allure--or the challenge of proving London's gossips wrong. He would do anything to win her hand-- and show that even a wicked marquess can make a perfect husband"" -- from publisher's web site.",romance
Watch me,Brenda Novak,"Twelve years have passed since teenagers Sheridan Kohl and Jason Wyatt were shot by an unknown assailant in Whiterock, Tennessee. Sheridan survived, but the shooter was never captured. Now, a new development in the case brings Sheridan back to Whiterock, but someone doesn't want her to come home.",romance
Salzano's captive bride,Daphne Clair,"""Marco Salzano is furious! One moment of passion in the sultry heat of carnaval has had its price. Burning with suspicion and anger, the arrogant Venezuelan is going to track down his errant one-night stand and claim his love child! But he's accusing the wrong woman. Pretending to be her sister, fragile Amber convinces Marco that the baby in question is not his. But when Marco discovers her deception, he vows to take Amber--not as his mistress, but as his bride!""--p. [4] of cover.",romance
A killing frost,Hannah Alexander,"Haunted by a terrible secret, Dr. Jama Keith returns to her hometown of River Dance, Missouri. After the young niece of her former fiancé Terell Mercer is abducted, the search puts Terell and Jama in peril.",romance
The redemption of Rafe Diaz,Maggie Price,"""Seven years ago, private investigator Rafe Diaz went to prison for a crime he didn't commit--and Allie Fielding's testimony helped put him there. Now the popular socialite holds his client's fate in her manicured hands. But this time, the charge is murder one. And Rafe intends to question Allie until that glossy mouth of hers tells the truth. Shooting daggers from those smoldering eyes, Rafe could easily pass for the bad guy Allie once thought he was. But now, her one-time enemy is the only man who can protect her. Because a cold-blooded murderer wants to ensure she never gets another day on the witness stand...""--p.[4] of cover.",romance
Secrets of a sinner,Yolonda Tonnette Sanders,"Natalie Coleman returns to the Mississippi home she ran from years ago to get some much-needed comfort and advice from her grandmother Big Mama, who helps her confront the painful events of her past and get her life back on track.",romance
In the Argentine's bed,Jennifer Lewis,"It was just one ""simple"" mission - find out whether a winemaker in Argentina was a New York millionaire's long-lost son. But Susannah Clarke quickly learned Amado Alvarez played by his own rules. He'd give her the DNA sample she wanted - if she spent the night with him! And in a moment of madness, she'd given in, to his demand and to her own desire. Now she had to return to South America to face this compelling, sensuous man again - and to face this compelling, sensuous man again - and to face the consequences of that one unforgotten, unforgettable night in a stranger's bed ...",romance
Dying for you,Beverly Barton,"Lucie Evans wants a fresh start, and the chance to show ex-boss Sawyer McNamara that she no longer craves absolution for a crime she didn't commit. So when she's offered a trip to South America as the personal bodyguard to a billionaire heiress, Lucie jumps at the prospect. But then she's kidnapped in a case of mistaken identity, and her only hope of survival rests with the one man she never wanted to see again.",romance
"Texas Ranger, runaway heiress",Carol Finch,"""She prefers guns to gowns--and riding the land to dancing at balls. So heiress Gabrielle Price heads across Texas's most dangerous territory to break her unwanted society engagement. Only, her biggest problem isn't outlaws and killers. It's a rugged, relentless Texas Ranger.... With a killer to catch, Hudson Stone has better things to do than escort his commander's spoiled, socialite daughter. But his fiery charge is as irresistible as she is off-limits, and to protect her he'll risk his reputation, his life--and his heart.""--P. [4] cover.",romance
The bleeding dusk,Colleen Gleason,"To gain access to the secrets of a legendary alchemist, Rome's vampires have allied themselves with creatures as evil and bloodthirsty as they are. The new leader of the city's vampire hunters-Lady Victoria Gardella Grantworth de Lacy-reluctantly turns to the enigmatic Sebastian Vioget for help, just as Maximilian Pesaro arrives to aid his fellow slayers, no matter what the sacrifice. Desire puts her at the mercy of Sebastian, while loyalty binds her to Max, but she does not know if she can trust either. Especially when a seductive vampire begins luring her into the shadows...--From publisher description.",romance
Let me in,Donna Kauffman,"""Tate Winslow is done with all the guns, the adventures, the brushes with death. All she wants is to be left alone. So when her enigmatic ex-boss shows up on her doorstep barely alive, she really tries not to care. He's all alpha male, the baddest of the bad -- and a threat to her hard-won peace in more ways than one. Tate is the only lead Derek Cole has on a case that could blow the intelligence world apart -- if it doesn't kill him before he can figure it out. She was his best agent, but she's in hiding and he's gone rogue, and he's starting to think of her in a very nonprofessional way. In fact, he wants Tate like he wants his next breath, but he's already risking his life and his career--does he need to put his heart in danger too?""--P. [4] of cover.",romance
The Blackmail Bargain,Robyn Donald,"Blackmailed in the billionaire's bed!

A gold-digging home-wrecker isn't Curt McIntosh's ideal woman. But it seems that's exactly what he's got with Peta Grey. For Curt there is only one way to stop her...blackmail!

In reality, Peta is a penniless virgin trying to survive. She accepts Curt's ultimatum, and agrees to act as his mistress. But the terms of the deal aren't clear. Peta thought their relationship was purely business.

So why has she just woken up naked in Curt's bed?",romance
The vampire's quest,Vivi Anna,"""After escaping from the Otherworld Crime Unit, Kellen Falcon came to Nouveau Monde to crack a rare blood disease.  But the European hotbed of temptation yielded sport no vampire could resist--criminologist Sophie St. Clair.  and with only days to live, Kellen sought sweet release from her to escape a savage past.  The lycan beauty wasn't one to stray from her pact.  But an investigation into a downtown bombing now tied the two together.  And it wasn't long before Kellen's smoldering eyes and Sophie's fierce desire for this vampire put her loyalties to the test""--Cover verso.",romance
Quade's babies,Brenda Jackson,"""Quade Westmoreland's one-night love affair with Cheyenne had branded him body and soul, but he'd never even learned her last name. Almost a year later, driven by memories and one incriminating photo, the sexy operative had finally tracked her down--and discovered three little babies bearing his features. Learning he was a father made Quade even more determined: he would claim Cheyenne Steele in every way. Shockingly, the irresistible beauty seemed intent on resisting him. But the Westmoreland destiny was at stake, and Quade would fight for what was his....""--p. [4] of cover.",romance
The parson's Christmas gift,Kerri Mountain,"""Desperate to escape her past, Miss Journey Smith heads deep into Montana Territory. Then a terrible accident strands her in the tiny town of Walten during the Christmas season. The townspeople welcome Journey into their hearts and homes, leading her to dream of a normal life, full of happiness, holidays--and the town's handsome parson. Enchanted by the troubled beauty, Zane Thompson knows Journey is not what she seems. But she can't--or won't--trust him with her secrets, especially when her past reappears with a vengeance. Soon the parson must risk his life and his faith to offer Journey the greatest Christmas gift of all--his heart.",romance
